"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 26 16:58:43 GMT 2024","Tue Mar 26 16:58:45 GMT 2024","1561","","User Login","","login_spec","","Login invalid password credential","Location - features/specs/login_spec.rb:23"
"broken","Tue Mar 26 16:58:40 GMT 2024","Tue Mar 26 16:58:42 GMT 2024","1550","","User Login","","login_spec","","Login happy path","Location - features/specs/login_spec.rb:11"
"broken","Tue Mar 26 16:58:57 GMT 2024","Tue Mar 26 16:58:58 GMT 2024","1562","","Slider","","slider_spec","","Checking second swipe","Location - features/specs/slider_spec.rb:16"
"broken","Tue Mar 26 16:58:48 GMT 2024","Tue Mar 26 16:58:49 GMT 2024","1554","","Long press button","","long_press_spec","","Checking long press","Location - features/specs/long_press_spec.rb:10"
"broken","Tue Mar 26 16:58:58 GMT 2024","Tue Mar 26 16:59:00 GMT 2024","1560","","Vertical swiping","","vertical_swiping_spec","","Checking first vertical swiping","Location - features/specs/vertical_swiping_spec.rb:10"
"broken","Tue Mar 26 16:58:38 GMT 2024","Tue Mar 26 16:58:38 GMT 2024","523","","Carousel","","carousel_spec","","Checking carousel","Location - features/specs/carousel_spec.rb:10"
"broken","Tue Mar 26 16:58:55 GMT 2024","Tue Mar 26 16:58:57 GMT 2024","1546","","Slider","","slider_spec","","Checking first swipe","Location - features/specs/slider_spec.rb:10"
"broken","Tue Mar 26 16:58:46 GMT 2024","Tue Mar 26 16:58:48 GMT 2024","1556","","User Login","","login_spec","","Login empty credentials","Location - features/specs/login_spec.rb:35"
"broken","Tue Mar 26 16:58:49 GMT 2024","Tue Mar 26 16:58:55 GMT 2024","5777","","Native view demo","","native_view_spec","","Checking native text","Location - features/specs/native_view_spec.rb:12"
"broken","Tue Mar 26 16:58:45 GMT 2024","Tue Mar 26 16:58:46 GMT 2024","1578","","User Login","","login_spec","","Login invalid username and password credential","Location - features/specs/login_spec.rb:29"
"broken","Tue Mar 26 16:58:42 GMT 2024","Tue Mar 26 16:58:43 GMT 2024","1551","","User Login","","login_spec","","Login invalid username credential","Location - features/specs/login_spec.rb:17"
"broken","Tue Mar 26 16:58:38 GMT 2024","Tue Mar 26 16:58:40 GMT 2024","1550","","Drag and drop","","drag_and_drop_spec","","Checking drag and drop","Location - features/specs/drag_and_drop_spec.rb:10"
