"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Mar 02 18:40:38 GMT 2024","Sat Mar 02 18:40:40 GMT 2024","1557","","Drag and drop","","drag_and_drop_spec","","Checking drag and drop","Location - features/specs/drag_and_drop_spec.rb:10"
"broken","Sat Mar 02 18:40:52 GMT 2024","Sat Mar 02 18:40:54 GMT 2024","1618","","Slider","","slider_spec","","Checking second swipe","Location - features/specs/slider_spec.rb:16"
"broken","Sat Mar 02 18:40:49 GMT 2024","Sat Mar 02 18:40:51 GMT 2024","1616","","Native view demo","","native_view_spec","","Checking native text","Location - features/specs/native_view_spec.rb:12"
"broken","Sat Mar 02 18:40:47 GMT 2024","Sat Mar 02 18:40:49 GMT 2024","1564","","Long press button","","long_press_spec","","Checking long press","Location - features/specs/long_press_spec.rb:10"
"broken","Sat Mar 02 18:40:46 GMT 2024","Sat Mar 02 18:40:47 GMT 2024","1546","","User Login","","login_spec","","Login empty credentials","Location - features/specs/login_spec.rb:35"
"broken","Sat Mar 02 18:40:54 GMT 2024","Sat Mar 02 18:40:55 GMT 2024","1553","","Vertical swiping","","vertical_swiping_spec","","Checking first vertical swiping","Location - features/specs/vertical_swiping_spec.rb:10"
"broken","Sat Mar 02 18:40:38 GMT 2024","Sat Mar 02 18:40:38 GMT 2024","619","","Carousel","","carousel_spec","","Checking carousel","Location - features/specs/carousel_spec.rb:10"
"broken","Sat Mar 02 18:40:40 GMT 2024","Sat Mar 02 18:40:41 GMT 2024","1579","","User Login","","login_spec","","Login happy path","Location - features/specs/login_spec.rb:11"
"broken","Sat Mar 02 18:40:41 GMT 2024","Sat Mar 02 18:40:43 GMT 2024","1549","","User Login","","login_spec","","Login invalid username credential","Location - features/specs/login_spec.rb:17"
"broken","Sat Mar 02 18:40:51 GMT 2024","Sat Mar 02 18:40:52 GMT 2024","1552","","Slider","","slider_spec","","Checking first swipe","Location - features/specs/slider_spec.rb:10"
"broken","Sat Mar 02 18:40:43 GMT 2024","Sat Mar 02 18:40:44 GMT 2024","1548","","User Login","","login_spec","","Login invalid password credential","Location - features/specs/login_spec.rb:23"
"broken","Sat Mar 02 18:40:44 GMT 2024","Sat Mar 02 18:40:46 GMT 2024","1553","","User Login","","login_spec","","Login invalid username and password credential","Location - features/specs/login_spec.rb:29"
