"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Feb 24 08:58:33 GMT 2024","Sat Feb 24 08:58:33 GMT 2024","163","","Native view demo","","native_view_spec","","Checking native text","Location - features/specs/native_view_spec.rb:12"
"broken","Sat Feb 24 08:58:33 GMT 2024","Sat Feb 24 08:58:33 GMT 2024","170","","Long press button","","long_press_spec","","Checking long press","Location - features/specs/long_press_spec.rb:10"
"broken","Sat Feb 24 08:58:33 GMT 2024","Sat Feb 24 08:58:33 GMT 2024","161","","Vertical swiping","","vertical_swiping_spec","","Checking first vertical swiping","Location - features/specs/vertical_swiping_spec.rb:10"
"broken","Sat Feb 24 08:58:33 GMT 2024","Sat Feb 24 08:58:33 GMT 2024","191","","Slider","","slider_spec","","Checking second swipe","Location - features/specs/slider_spec.rb:16"
"broken","Sat Feb 24 08:58:31 GMT 2024","Sat Feb 24 08:58:31 GMT 2024","242","","Carousel","","carousel_spec","","Checking carousel","Location - features/specs/carousel_spec.rb:10"
"broken","Sat Feb 24 08:58:33 GMT 2024","Sat Feb 24 08:58:33 GMT 2024","133","","Slider","","slider_spec","","Checking first swipe","Location - features/specs/slider_spec.rb:10"
"broken","Sat Feb 24 08:58:32 GMT 2024","Sat Feb 24 08:58:32 GMT 2024","177","","User Login","","login_spec","","Login invalid password credential","Location - features/specs/login_spec.rb:23"
"broken","Sat Feb 24 08:58:32 GMT 2024","Sat Feb 24 08:58:33 GMT 2024","153","","User Login","","login_spec","","Login empty credentials","Location - features/specs/login_spec.rb:35"
"broken","Sat Feb 24 08:58:31 GMT 2024","Sat Feb 24 08:58:32 GMT 2024","235","","Drag and drop","","drag_and_drop_spec","","Checking drag and drop","Location - features/specs/drag_and_drop_spec.rb:10"
"broken","Sat Feb 24 08:58:32 GMT 2024","Sat Feb 24 08:58:32 GMT 2024","316","","User Login","","login_spec","","Login invalid username and password credential","Location - features/specs/login_spec.rb:29"
"broken","Sat Feb 24 08:58:32 GMT 2024","Sat Feb 24 08:58:32 GMT 2024","172","","User Login","","login_spec","","Login invalid username credential","Location - features/specs/login_spec.rb:17"
"broken","Sat Feb 24 08:58:32 GMT 2024","Sat Feb 24 08:58:32 GMT 2024","172","","User Login","","login_spec","","Login happy path","Location - features/specs/login_spec.rb:11"
