"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Mar 26 16:58:14 GMT 2024","Tue Mar 26 16:58:14 GMT 2024","175","","User Login","","login_spec","","Login invalid username and password credential","Location - features/specs/login_spec.rb:29"
"broken","Tue Mar 26 16:58:15 GMT 2024","Tue Mar 26 16:58:15 GMT 2024","190","","Native view demo","","native_view_spec","","Checking native text","Location - features/specs/native_view_spec.rb:12"
"broken","Tue Mar 26 16:58:15 GMT 2024","Tue Mar 26 16:58:16 GMT 2024","287","","Vertical swiping","","vertical_swiping_spec","","Checking first vertical swiping","Location - features/specs/vertical_swiping_spec.rb:10"
"broken","Tue Mar 26 16:58:15 GMT 2024","Tue Mar 26 16:58:15 GMT 2024","328","","Slider","","slider_spec","","Checking second swipe","Location - features/specs/slider_spec.rb:16"
"broken","Tue Mar 26 16:58:14 GMT 2024","Tue Mar 26 16:58:14 GMT 2024","382","","User Login","","login_spec","","Login empty credentials","Location - features/specs/login_spec.rb:35"
"broken","Tue Mar 26 16:58:14 GMT 2024","Tue Mar 26 16:58:15 GMT 2024","494","","Long press button","","long_press_spec","","Checking long press","Location - features/specs/long_press_spec.rb:10"
"broken","Tue Mar 26 16:58:12 GMT 2024","Tue Mar 26 16:58:13 GMT 2024","265","","Carousel","","carousel_spec","","Checking carousel","Location - features/specs/carousel_spec.rb:10"
"broken","Tue Mar 26 16:58:13 GMT 2024","Tue Mar 26 16:58:14 GMT 2024","227","","User Login","","login_spec","","Login invalid password credential","Location - features/specs/login_spec.rb:23"
"broken","Tue Mar 26 16:58:15 GMT 2024","Tue Mar 26 16:58:15 GMT 2024","203","","Slider","","slider_spec","","Checking first swipe","Location - features/specs/slider_spec.rb:10"
"broken","Tue Mar 26 16:58:13 GMT 2024","Tue Mar 26 16:58:13 GMT 2024","191","","User Login","","login_spec","","Login invalid username credential","Location - features/specs/login_spec.rb:17"
"broken","Tue Mar 26 16:58:13 GMT 2024","Tue Mar 26 16:58:13 GMT 2024","213","","User Login","","login_spec","","Login happy path","Location - features/specs/login_spec.rb:11"
"broken","Tue Mar 26 16:58:13 GMT 2024","Tue Mar 26 16:58:13 GMT 2024","196","","Drag and drop","","drag_and_drop_spec","","Checking drag and drop","Location - features/specs/drag_and_drop_spec.rb:10"
