"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Feb 22 20:01:56 GMT 2024","Thu Feb 22 20:01:57 GMT 2024","1535","","Slider","","slider_spec","","Checking second swipe","Location - features/specs/slider_spec.rb:16"
"broken","Thu Feb 22 20:01:47 GMT 2024","Thu Feb 22 20:01:48 GMT 2024","1531","","User Login","","login_spec","","Login invalid password credential","Location - features/specs/login_spec.rb:23"
"passed","Thu Feb 22 20:01:09 GMT 2024","Thu Feb 22 20:01:43 GMT 2024","33985","","Carousel","","carousel_spec","","Checking carousel","Location - features/specs/carousel_spec.rb:10"
"broken","Thu Feb 22 20:01:57 GMT 2024","Thu Feb 22 20:01:59 GMT 2024","1537","","Vertical swiping","","vertical_swiping_spec","","Checking first vertical swiping","Location - features/specs/vertical_swiping_spec.rb:10"
"broken","Thu Feb 22 20:01:43 GMT 2024","Thu Feb 22 20:01:44 GMT 2024","480","","Drag and drop","","drag_and_drop_spec","","Checking drag and drop","Location - features/specs/drag_and_drop_spec.rb:10"
"broken","Thu Feb 22 20:01:51 GMT 2024","Thu Feb 22 20:01:53 GMT 2024","1523","","Long press button","","long_press_spec","","Checking long press","Location - features/specs/long_press_spec.rb:10"
"broken","Thu Feb 22 20:01:45 GMT 2024","Thu Feb 22 20:01:47 GMT 2024","1530","","User Login","","login_spec","","Login invalid username credential","Location - features/specs/login_spec.rb:17"
"broken","Thu Feb 22 20:01:44 GMT 2024","Thu Feb 22 20:01:45 GMT 2024","1533","","User Login","","login_spec","","Login happy path","Location - features/specs/login_spec.rb:11"
"broken","Thu Feb 22 20:01:50 GMT 2024","Thu Feb 22 20:01:51 GMT 2024","1557","","User Login","","login_spec","","Login empty credentials","Location - features/specs/login_spec.rb:35"
"broken","Thu Feb 22 20:01:48 GMT 2024","Thu Feb 22 20:01:50 GMT 2024","1530","","User Login","","login_spec","","Login invalid username and password credential","Location - features/specs/login_spec.rb:29"
"broken","Thu Feb 22 20:01:53 GMT 2024","Thu Feb 22 20:01:54 GMT 2024","1530","","Native view demo","","native_view_spec","","Checking native text","Location - features/specs/native_view_spec.rb:12"
"broken","Thu Feb 22 20:01:54 GMT 2024","Thu Feb 22 20:01:56 GMT 2024","1531","","Slider","","slider_spec","","Checking first swipe","Location - features/specs/slider_spec.rb:10"
